Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
bowtie2-3357131_0	39505807	39505807	6286921	26381159	6837727	3613872	2484825	943778	1917495	96.86	958747.5	1242412.5	471889.0
bowtie2-3357131_1	36007899	36007899	5953316	24358512	5696071	3464695	2407461	890614	1679167	96.66	839583.5	1203730.5	445307.0
bowtie2-3357131_10	31183927	31183927	6010337	20166894	5006696	3969904	1249664	982151	1849051	98.0	924525.5	624832.0	491075.5
bowtie2-3357131_11	30634961	30634961	6779750	19216299	4638912	4621824	1164658	1067673	2083521	98.1	1041760.5	582329.0	533836.5
bowtie2-3357131_12	33718481	33718481	4216926	23428877	6072678	2700203	1069531	644742	1319173	98.41	659586.5	534765.5	322371.0
bowtie2-3357131_13	31608864	31608864	4670340	21337094	5601430	2931905	1149972	774447	1552451	98.18	776225.5	574986.0	387223.5
bowtie2-3357131_14	42061288	42061288	4946601	29431400	7683287	2972010	1675730	824428	1449024	98.01	724512.0	837865.0	412214.0
bowtie2-3357131_2	36187771	36187771	5374800	24778515	6034456	3155290	2069598	820077	1549345	97.14	774672.5	1034799.0	410038.5
bowtie2-3357131_3	20399056	20399056	4786892	12317269	3294895	3030900	1012779	782997	1716208	97.52	858104.0	506389.5	391498.5
bowtie2-3357131_4	30301915	30301915	5233638	19812279	5255998	2948034	2127914	788664	1654630	96.49	827315.0	1063957.0	394332.0
bowtie2-3357131_5	34599523	34599523	5252476	23368452	5978595	3040313	1982555	825419	1616352	97.13	808176.0	991277.5	412709.5
bowtie2-3357131_6	33625073	33625073	4449975	22757461	6417637	2589580	1674066	711490	1335234	97.51	667617.0	837033.0	355745.0
bowtie2-3357131_7	36741700	36741700	5120258	24678464	6942978	2992933	2032339	770651	1451660	97.23	725830.0	1016169.5	385325.5
bowtie2-3357131_8	42403297	42403297	5657770	29130378	7615149	3603462	1546207	926666	1635743	98.18	817871.5	773103.5	463333.0
bowtie2-3357131_9	39420494	39420494	5259877	26837212	7323405	3167307	1762232	863271	1559637	97.76	779818.5	881116.0	431635.5
